flag,gid,role,cluster_id,priority_score,metric_value,meaning,evidence,attention
cycle,100000008603629100,coordinator,7,0.981072,73.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 19 плательщиков, мост 0.0018.",возвратный поток с seed (73 цикл.); повторная пересылка за ≤2 дня (4 маршр.); 4 плательщиков в один день; повтор одной суммы ×4; плательщиков больше 99% узлов колена 2
cycle,100000000437046100,coordinator,1,0.977091,42.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 9 плательщиков, мост 0.0008.",возвратный поток с seed (42 цикл.); повторная пересылка за ≤2 дня (4 маршр.); 3 плательщиков в один день; повтор одной суммы ×5
cycle,100000000331309100,coordinator,6,0.973932,2.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 5 плательщиков, мост 0.0014.",возвратный поток с seed (2 цикл.); звено сквозной цепочки (10); 3 плательщиков в один день; повтор одной суммы ×7
cycle,100000008346837100,coordinator,14,0.961321,7.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 6 seed, 9 плательщиков, мост 0.0063.",возвратный поток с seed (7 цикл.); звено сквозной цепочки (6); 4 плательщиков в один день
cycle,100000003115284100,consolidator,12,0.958669,2.0,узел входит в направленный возвратный поток,"Признаки консолидации: 8 плательщиков, 2 получателей, входящий поток 2,160,500 KZT.",возвратный поток (2 цикл.); звено сквозной цепочки (2); 7 плательщиков в один день; плательщиков больше 99% узлов колена 1
cycle,100000004156082100,coordinator,16,0.953815,6.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 5 плательщиков, мост 0.0002.",возвратный поток с seed (6 цикл.)
cycle,100000008477350100,coordinator,1,0.949978,34.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 11 плательщиков, мост 0.0006.",возвратный поток с seed (34 цикл.); звено сквозной цепочки (2); плательщиков больше 99% узлов колена 2
cycle,100000001857829100,coordinator,7,0.945212,6.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 6 плательщиков, мост 0.0009.",возвратный поток (6 цикл.); звено сквозной цепочки (1); 3 плательщиков в один день
cycle,100000005910114100,coordinator,1,0.943216,18.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 3 плательщиков, мост 0.0035.",возвратный поток с seed (18 цикл.); звено сквозной цепочки (5); повтор одной суммы ×5
cycle,100000008733194100,distributor,14,0.933786,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 8 получателей против 4 плательщиков, исходящий поток 159,695 KZT.",возвратный поток (1 цикл.)
cycle,100000003242289100,coordinator,17,0.933085,8.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0003.",возвратный поток с seed (8 цикл.); звено сквозной цепочки (5)
cycle,100000008547948100,coordinator,3,0.917382,5.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 6 плательщиков, мост 0.0004.",возвратный поток (5 цикл.); звено сквозной цепочки (1); 4 плательщиков в один день
cycle,100000005933757100,distributor,15,0.916515,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 34 получателей против 4 плательщиков, исходящий поток 3,002,628 KZT.",возвратный поток (3 цикл.); повтор одной суммы ×8
cycle,100000008489922100,coordinator,3,0.913812,2.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0003.",возвратный поток (2 цикл.); звено сквозной цепочки (1); повтор одной суммы ×5
cycle,100000007594394100,consolidator,18,0.901557,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 395,385 KZT.",возвратный поток (1 цикл.); повторная пересылка за ≤2 дня (3 маршр.); повтор одной суммы ×4
cycle,100000004015047100,consolidator,9,0.901369,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 9 плательщиков, 1 получателей, входящий поток 919,104 KZT.",возвратный поток с seed (1 цикл.); плательщиков больше 99% узлов колена 1
cycle,100000004299488100,consolidator,1,0.900693,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 1,749,000 KZT.",возвратный поток (1 цикл.); повторная пересылка за ≤2 дня (1 маршр.); 3 плательщиков в один день; повтор одной суммы ×4
cycle,100000002957787100,coordinator,1,0.900323,6.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 4 плательщиков, мост 0.0026.",возвратный поток с seed (6 цикл.); повторная пересылка за ≤2 дня (1 маршр.); 5 входов у порога 5–10 тыс.
cycle,100000008547844100,coordinator,3,0.89891,4.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0004.",возвратный поток (4 цикл.)
cycle,100000004403675100,coordinator,20,0.88929,2.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 4 плательщиков, мост 0.0012.",возвратный поток с seed (2 цикл.)
cycle,100000004400305100,distributor,1,0.886588,42.0,узел входит в направленный возвратный поток,"Признаки распределения: 82 получателей против 7 плательщиков, исходящий поток 5,830,181 KZT.",возвратный поток с seed (42 цикл.); звено сквозной цепочки (13); повтор одной суммы ×7
cycle,100000004351795100,coordinator,1,0.884742,16.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 3 seed, 3 плательщиков, мост 0.0014.",возвратный поток с seed (16 цикл.)
cycle,100000004759121100,consolidator,1,0.883361,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 710,000 KZT.",возвратный поток (1 цикл.)
cycle,100000004070318100,distributor,1,0.879738,41.0,узел входит в направленный возвратный поток,"Признаки распределения: 19 получателей против 4 плательщиков, исходящий поток 551,860 KZT.",возвратный поток с seed (41 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×4
cycle,100000008461532100,distributor,28,0.877291,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 8 получателей против 2 плательщиков, исходящий поток 2,530,090 KZT.",возвратный поток (1 цикл.)
cycle,100000008304139100,distributor,4,0.875222,22.0,узел входит в направленный возвратный поток,"Признаки распределения: 24 получателей против 4 плательщиков, исходящий поток 1,692,997 KZT.",возвратный поток с seed (22 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000000661912100,consolidator,7,0.87446,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 5 плательщиков, 2 получателей, входящий поток 393,036 KZT.",возвратный поток (1 цикл.)
cycle,100000005287097100,distributor,5,0.867304,6.0,узел входит в направленный возвратный поток,"Признаки распределения: 9 получателей против 2 плательщиков, исходящий поток 697,300 KZT.",возвратный поток с seed (6 цикл.); звено сквозной цепочки (2); повтор одной суммы ×6
cycle,100000003635170100,transit,34,0.864708,2.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 94% видимого входа; 3→4 связей, быстрый выход 54%.",возвратный поток (2 цикл.)
cycle,100000006518161100,transit,5,0.859849,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 100% видимого входа; 3→2 связей, быстрый выход 100%.",возвратный поток (1 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000002838861100,consolidator,3,0.850178,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 5 плательщиков, 1 получателей, входящий поток 554,524 KZT.",возвратный поток (1 цикл.)
cycle,100000008111003100,consolidator,1,0.848295,9.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 222,716 KZT.",возвратный поток с seed (9 цикл.); звено сквозной цепочки (1)
cycle,100000003684369100,distributor,4,0.844489,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 62 получателей против 24 плательщиков, исходящий поток 8,588,655 KZT.",возвратный поток с seed (1 цикл.); звено сквозной цепочки (24); 6 плательщиков в один день; повтор одной суммы ×6; плательщиков больше 99% узлов колена 0
cycle,100000005704413100,distributor,8,0.84395,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 32 получателей против 3 плательщиков, исходящий поток 1,363,593 KZT.",возвратный поток (3 цикл.)
cycle,100000004847758100,distributor,4,0.841915,7.0,узел входит в направленный возвратный поток,"Признаки распределения: 15 получателей против 4 плательщиков, исходящий поток 488,800 KZT.",возвратный поток с seed (7 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×6
cycle,100000008546855100,consolidator,18,0.84167,2.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 2 получателей, входящий поток 71,790 KZT.",возвратный поток (2 цикл.); 5 плательщиков в один день; 5 входов у порога 5–10 тыс.
cycle,100000002723538100,distributor,7,0.839435,5.0,узел входит в направленный возвратный поток,"Признаки распределения: 12 получателей против 3 плательщиков, исходящий поток 560,499 KZT.",возвратный поток (5 цикл.); звено сквозной цепочки (1)
cycle,100000005578559100,distributor,8,0.835009,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 21 получателей против 2 плательщиков, исходящий поток 893,164 KZT.",возвратный поток (1 цикл.)
cycle,100000006866783100,distributor,1,0.830206,93.0,узел входит в направленный возвратный поток,"Признаки распределения: 67 получателей против 13 плательщиков, исходящий поток 3,948,037 KZT.",возвратный поток с seed (93 цикл.); повторная пересылка за ≤2 дня (5 маршр.); 5 плательщиков в один день; повтор одной суммы ×9
cycle,100000003741418100,consolidator,6,0.828959,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 9 плательщиков, 3 получателей, входящий поток 151,900 KZT.",возвратный поток (1 цикл.); 9 входов у порога 5–10 тыс.
cycle,100000004071080100,consolidator,1,0.825979,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 9 плательщиков, 2 получателей, входящий поток 238,600 KZT.",возвратный поток (1 цикл.); звено сквозной цепочки (3); плательщиков больше 99% узлов колена 1
