rank,gid,depth,in_deg,in_kzt,p_hidden_outgoing,cluster_id,priority_score,attention,next_request
1,100000003037476100,4,3,555000.0,0.732,3,0.309225,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003037476100 за следующий шаг; оценка скрытого выхода 73%.
2,100000004652395100,4,3,101528.0,0.732,1,0.2999,3 плательщиков в один день; плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000004652395100 за следующий шаг; оценка скрытого выхода 73%.
3,100000003230328100,4,3,26572.0,0.732,7,0.268933,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003230328100 за следующий шаг; оценка скрытого выхода 73%.
4,100000006638021100,4,2,388500.0,0.57,49,0.296929,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000006638021100 за следующий шаг; оценка скрытого выхода 57%.
5,100000005783452100,4,2,286500.0,0.57,10,0.293069,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000005783452100 за следующий шаг; оценка скрытого выхода 57%.
6,100000007034089100,4,2,198000.0,0.57,3,0.286477,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000007034089100 за следующий шаг; оценка скрытого выхода 57%.
7,100000007357489100,4,2,164500.0,0.57,3,0.283007,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000007357489100 за следующий шаг; оценка скрытого выхода 57%.
8,100000003072205100,4,2,163000.0,0.57,3,0.300009,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000003072205100 за следующий шаг; оценка скрытого выхода 57%.
9,100000008583971100,4,2,51000.0,0.57,1,0.260367,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000008583971100 за следующий шаг; оценка скрытого выхода 57%.
10,100000001202787100,4,2,14850.0,0.57,1,0.244102,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000001202787100 за следующий шаг; оценка скрытого выхода 57%.
11,100000005075949100,4,1,2226000.0,0.287,48,0.227101,нет,Запросить исходящие переводы от gid 100000005075949100 за следующий шаг; оценка скрытого выхода 29%.
12,100000001053894100,4,1,2000000.0,0.287,40,0.280231,нет,Запросить исходящие переводы от gid 100000001053894100 за следующий шаг; оценка скрытого выхода 29%.
13,100000008175078100,4,1,1846711.0,0.287,37,0.280101,нет,Запросить исходящие переводы от gid 100000008175078100 за следующий шаг; оценка скрытого выхода 29%.
14,100000008517061100,4,1,1844000.0,0.287,15,0.226754,нет,Запросить исходящие переводы от gid 100000008517061100 за следующий шаг; оценка скрытого выхода 29%.
