cluster_id,depth,n_nodes,share_cluster,n_seed,boundary_nodes,avg_priority_score,top_gids
1,0,1,0.0036,1,0,0.830206,100000006866783100
1,1,52,0.1877,0,0,0.503976,100000004299488100;100000004351795100;100000004759121100;100000004070318100;100000004071080100
1,2,47,0.1697,0,0,0.512914,100000000437046100;100000008477350100;100000008731444100;100000002398779100;100000002957787100
1,3,115,0.4152,0,0,0.416156,100000005910114100;100000005610717100;100000007593823100;100000003213473100;100000008086440100
1,4,62,0.2238,0,62,0.192158,100000004652395100;100000008469048100;100000008583971100;100000003180305100;100000006756956100
2,0,1,0.0037,1,0,0.561934,100000002527114100
2,1,111,0.4111,0,0,0.290748,100000001697501100;100000003942602100;100000008737958100;100000004739664100;100000001952325100
2,2,37,0.137,0,0,0.301317,100000002578405100;100000001166289100;100000002733905100;100000006612238100;100000002199091100
2,3,117,0.4333,0,0,0.280633,100000008493007100;100000005342513100;100000004292885100;100000001632325100;100000008712827100
2,4,4,0.0148,0,4,0.182747,100000002214383100;100000008778010100;100000008745676100;100000005685783100
3,0,1,0.0063,1,0,0.241775,100000005498992100
3,1,15,0.0949,0,0,0.471884,100000002838861100;100000001253557100;100000003071930100;100000003589877100;100000006972210100
3,2,24,0.1519,0,0,0.489765,100000008547948100;100000008710791100;100000008547844100;100000008466579100;100000002718366100
3,3,65,0.4114,0,0,0.499569,100000008489922100;100000008517538100;100000008692291100;100000008465789100;100000002369874100
3,4,53,0.3354,0,53,0.201291,100000003037476100;100000003072205100;100000007034089100;100000007357489100;100000002126791100
4,0,3,0.0205,3,0,0.415128,100000003684369100;100000004358004100;100000004723755100
4,1,60,0.411,0,0,0.513649,100000008165763100;100000005612411100;100000008304139100;100000004847758100;100000003946524100
4,2,58,0.3973,0,0,0.415744,100000003249054100;100000000596954100;100000000913911100;100000002983879100;100000005539910100
4,3,19,0.1301,0,0,0.429927,100000005830339100;100000003528285100;100000004140487100;100000004077081100;100000004417753100
4,4,6,0.0411,0,6,0.192613,100000000561160100;100000001816678100;100000003247600100;100000004107228100;100000005589319100
5,0,7,0.0551,7,0,0.441803,100000003016635100;100000008650785100;100000005519347100;100000004019124100;100000004193835100
5,1,60,0.4724,0,0,0.48064,100000001530983100;100000005287097100;100000006518161100;100000004707703100;100000008723830100
5,2,42,0.3307,0,0,0.414202,100000000490383100;100000004150593100;100000008144528100;100000007777377100;100000008389800100
5,3,12,0.0945,0,0,0.401731,100000003899899100;100000003406094100;100000005022552100;100000008595687100;100000003896956100
5,4,6,0.0472,0,6,0.161519,100000005272139100;100000004596284100;100000003486846100;100000002748511100;100000004260869100
6,1,5,0.0397,0,0,0.706934,100000006889963100;100000008560717100;100000001330685100;100000008244300100;100000008747113100
6,2,7,0.0556,0,0,0.680704,100000000331309100;100000000332284100;100000003741418100;100000005665181100;100000006755850100
6,3,79,0.627,0,0,0.471882,100000008192264100;100000002433697100;100000006734214100;100000002628576100;100000006111439100
6,4,35,0.2778,0,35,0.229506,100000003220685100;100000005616568100;100000007841978100;100000001222245100;100000003025903100
7,1,5,0.0472,0,0,0.621256,100000000661912100;100000004679953100;100000002704875100;100000001363952100;100000005133757100
7,2,8,0.0755,0,0,0.614075,100000008603629100;100000001857829100;100000002723538100;100000005140601100;100000003246024100
7,3,49,0.4623,0,0,0.427716,100000005048668100;100000003880331100;100000000413678100;100000008620570100;100000007170072100
7,4,44,0.4151,0,44,0.187041,100000003985389100;100000003230328100;100000000926078100;100000007071852100;100000002968096100
8,1,2,0.0328,0,0,0.522606,100000005473151100;100000002609774100
8,2,6,0.0984,0,0,0.514368,100000005578559100;100000008104567100;100000008545727100;100000008335401100;100000001490461100
8,3,26,0.4262,0,0,0.375804,100000005704413100;100000008379273100;100000004569484100;100000001927599100;100000004750321100
8,4,27,0.4426,0,27,0.199339,100000002695812100;100000001276409100;100000005567828100;100000002791494100;100000002729875100
9,0,3,0.0492,3,0,0.41846,100000001616816100;100000003977183100;100000007982728100
9,1,10,0.1639,0,0,0.533164,100000004015047100;100000006788200100;100000008748408100;100000002836736100;100000001411870100
9,2,25,0.4098,0,0,0.387348,100000002692750100;100000004221668100;100000002870463100;100000003509750100;100000006994985100
9,3,20,0.3279,0,0,0.357323,100000003111305100;100000005171642100;100000006664478100;100000008721637100;100000001270349100
9,4,3,0.0492,0,3,0.165245,100000005636951100;100000008727982100;100000005087923100
10,1,4,0.0667,0,0,0.54935,100000005514161100;100000002670860100;100000002748180100;100000005316708100
10,2,12,0.2,0,0,0.484494,100000008512827100;100000005242320100;100000002443664100;100000001584286100;100000004424023100
10,3,31,0.5167,0,0,0.457265,100000001282143100;100000002956769100;100000003031003100;100000008742053100;100000004368189100
10,4,13,0.2167,0,13,0.187796,100000005783452100;100000003989033100;100000001311175100;100000008699083100;100000002529877100
11,0,1,0.0179,1,0,0.242938,100000007747786100
11,1,22,0.3929,0,0,0.420613,100000002894076100;100000002921047100;100000005778283100;100000003158727100;100000003831324100
11,2,18,0.3214,0,0,0.356551,100000005782781100;100000001677929100;100000001601320100;100000000031787100;100000002958343100
11,3,13,0.2321,0,0,0.345689,100000003677936100;100000002681544100;100000002872399100;100000002394199100;100000003920950100
11,4,2,0.0357,0,2,0.145821,100000008677368100;100000005849862100
12,0,1,0.0185,1,0,0.797961,100000000343175100
12,1,25,0.463,0,0,0.534505,100000003115284100;100000006707582100;100000003809101100;100000004677680100;100000002941114100
12,2,16,0.2963,0,0,0.465067,100000008730846100;100000007998965100;100000003390036100;100000003360542100;100000004544958100
12,3,7,0.1296,0,0,0.425321,100000000976943100;100000002537811100;100000005873152100;100000005475379100;100000007793871100
12,4,5,0.0926,0,5,0.17086,100000004601193100;100000003622955100;100000004674412100;100000004571634100;100000004674389100
13,0,1,0.0189,1,0,0.242825,100000008680731100
13,1,25,0.4717,0,0,0.385839,100000003265158100;100000001899164100;100000004662806100;100000002679516100;100000002973903100
13,2,12,0.2264,0,0,0.398724,100000004386258100;100000002193259100;100000007242833100;100000000297649100;100000005904580100
13,3,7,0.1321,0,0,0.421401,100000004386331100;100000000933075100;100000004420041100;100000003917461100;100000004591973100
13,4,8,0.1509,0,8,0.188906,100000004200745100;100000007745062100;100000004798515100;100000004800648100;100000004386286100
14,0,5,0.0962,5,0,0.296523,100000005493505100;100000005454368100;100000001429930100;100000005370580100;100000005543136100
14,1,4,0.0769,0,0,0.515212,100000005074393100;100000004004621100;100000008003034100;100000007648946100
14,2,12,0.2308,0,0,0.559784,100000008346837100;100000008733194100;100000000489417100;100000006424479100;100000005053653100
14,3,18,0.3462,0,0,0.432267,100000001236706100;100000006020215100;100000004877085100;100000008088082100;100000006714366100
14,4,13,0.25,0,13,0.203783,100000005711521100;100000003718715100;100000003370425100;100000004019056100;100000003568904100
15,1,3,0.0682,0,0,0.543113,100000004159526100;100000001937767100;100000005958064100
15,2,9,0.2045,0,0,0.476969,100000005933757100;100000002605308100;100000001904863100;100000004905207100;100000007953156100
15,3,25,0.5682,0,0,0.328243,100000004500444100;100000002963189100;100000001073568100;100000003484058100;100000002633108100
15,4,7,0.1591,0,7,0.189547,100000008517061100;100000001957974100;100000003782913100;100000000803368100;100000004500781100
16,0,3,0.0732,3,0,0.288071,100000008418835100;100000005395727100;100000004269433100
16,1,6,0.1463,0,0,0.581597,100000004156082100;100000005339662100;100000008188026100;100000001987030100;100000008730021100
16,2,24,0.5854,0,0,0.429262,100000004820260100;100000000076451100;100000004816564100;100000002956898100;100000005481280100
16,3,7,0.1707,0,0,0.388327,100000002575080100;100000007131370100;100000002727288100;100000004750897100;100000004629688100
16,4,1,0.0244,0,1,0.145084,100000002832753100
17,1,1,0.0244,0,0,0.46214,100000008221543100
17,2,4,0.0976,0,0,0.712161,100000003242289100;100000008413748100;100000008512552100;100000002570206100
17,3,27,0.6585,0,0,0.362569,100000006225798100;100000003178549100;100000002713074100;100000003964910100;100000005530114100
17,4,9,0.2195,0,9,0.1653,100000002686226100;100000003500764100;100000000957746100;100000000608031100;100000002320495100
18,0,1,0.0333,1,0,0.385201,100000005409680100
18,1,2,0.0667,0,0,0.496058,100000001049200100;100000003873332100
18,2,6,0.2,0,0,0.582862,100000007594394100;100000008546855100;100000003854444100;100000008647905100;100000002831727100
18,3,16,0.5333,0,0,0.379775,100000006274203100;100000005661829100;100000004451012100;100000001690558100;100000002799941100
18,4,5,0.1667,0,5,0.170218,100000008638859100;100000007867364100;100000004350094100;100000004502048100;100000004049912100
19,1,1,0.0345,0,0,0.423648,100000001164648100
19,3,1,0.0345,0,0,0.579226,100000008460102100
19,4,27,0.931,0,27,0.14637,100000004891562100;100000002706810100;100000008715513100;100000002670463100;100000001991973100
20,0,14,0.5385,14,0,0.345701,100000005382566100;100000005386383100;100000004041163100;100000008516839100;100000005668605100
20,1,3,0.1154,0,0,0.576643,100000004403675100;100000004744306100;100000005394708100
20,2,5,0.1923,0,0,0.432465,100000008254069100;100000003823811100;100000003988112100;100000001386612100;100000008406609100
20,3,2,0.0769,0,0,0.395151,100000003190207100;100000005265073100
20,4,2,0.0769,0,2,0.177896,100000001471706100;100000002258492100
21,1,1,0.04,0,0,0.909201,100000005527892100
21,2,4,0.16,0,0,0.481915,100000006977207100;100000000724540100;100000008624978100;100000004134060100
21,3,14,0.56,0,0,0.4111,100000008343874100;100000002459832100;100000002936322100;100000002531406100;100000008514970100
21,4,6,0.24,0,6,0.194861,100000008343415100;100000005878334100;100000001669260100;100000004030553100;100000004797167100
22,2,4,0.16,0,0,0.736668,100000008743913100;100000008710843100;100000002748532100;100000008758168100
22,3,18,0.72,0,0,0.460681,100000001303311100;100000001141268100;100000001887715100;100000007229557100;100000003097324100
22,4,3,0.12,0,3,0.188521,100000002622822100;100000008183752100;100000002540033100
23,2,1,0.05,0,0,0.354473,100000000723383100
23,3,4,0.2,0,0,0.441814,100000002448088100;100000003154105100;100000001427082100;100000002185328100
23,4,15,0.75,0,15,0.171879,100000004777215100;100000002478829100;100000006308406100;100000002229615100;100000000655469100
24,1,2,0.1111,0,0,0.62176,100000003701161100;100000008137435100
24,2,7,0.3889,0,0,0.461566,100000003718221100;100000002267998100;100000004580202100;100000003104347100;100000001822623100
24,3,7,0.3889,0,0,0.350977,100000001063678100;100000005974542100;100000008474391100;100000004564736100;100000004991812100
24,4,2,0.1111,0,2,0.171107,100000008027922100;100000001275557100
25,0,1,0.0588,1,0,0.174377,100000004813068100
25,1,3,0.1765,0,0,0.319088,100000003835149100;100000004784224100;100000008383405100
25,2,4,0.2353,0,0,0.447266,100000002224132100;100000001965374100;100000005664922100;100000005474472100
25,3,9,0.5294,0,0,0.410514,100000004603109100;100000004892144100;100000000594783100;100000000552584100;100000005820746100
26,0,1,0.0588,1,0,0.432142,100000004007116100
26,1,4,0.2353,0,0,0.48578,100000004144536100;100000002731501100;100000004005964100;100000003616818100
26,2,6,0.3529,0,0,0.415599,100000004160650100;100000001330595100;100000003275398100;100000003031890100;100000008774237100
26,3,5,0.2941,0,0,0.314265,100000002886166100;100000002257794100;100000004064431100;100000003338583100;100000004007197100
26,4,1,0.0588,0,1,0.141354,100000000704700100
27,1,1,0.0667,0,0,0.535209,100000005505655100
27,2,1,0.0667,0,0,0.727602,100000001526235100
27,3,7,0.4667,0,0,0.353419,100000002472632100;100000001788284100;100000002984403100;100000000860514100;100000000926766100
27,4,6,0.4,0,6,0.157687,100000007811950100;100000000404740100;100000004674178100;100000008471634100;100000004041294100
28,2,1,0.0667,0,0,0.877291,100000008461532100
28,3,8,0.5333,0,0,0.390802,100000006704530100;100000000791285100;100000003122817100;100000002691583100;100000001819396100
28,4,6,0.4,0,6,0.176775,100000003470579100;100000002404112100;100000008331280100;100000005621418100;100000008151098100
29,2,2,0.1429,0,0,0.588045,100000008213966100;100000007382543100
29,3,6,0.4286,0,0,0.375692,100000000838385100;100000003001661100;100000008655779100;100000004407753100;100000006965162100
29,4,6,0.4286,0,6,0.16093,100000002860934100;100000000470237100;100000003001138100;100000000424935100;100000004377043100
30,0,1,0.0769,1,0,0.322897,100000006232815100
30,1,5,0.3846,0,0,0.328435,100000001380054100;100000000703894100;100000000607731100;100000006734554100;100000005669845100
30,2,5,0.3846,0,0,0.326553,100000005077484100;100000004192865100;100000001782980100;100000004463277100;100000003617552100
30,3,2,0.1538,0,0,0.312861,100000003164661100;100000005055454100
31,1,1,0.0769,0,0,0.699855,100000007442518100
31,2,8,0.6154,0,0,0.465908,100000008258083100;100000000821507100;100000002911170100;100000006567935100;100000001961048100
31,3,2,0.1538,0,0,0.453014,100000000673868100;100000001785161100
31,4,2,0.1538,0,2,0.174327,100000004673335100;100000003173783100
32,1,1,0.0909,0,0,0.804744,100000003004487100
32,2,2,0.1818,0,0,0.51993,100000002175422100;100000002710570100
32,3,5,0.4545,0,0,0.390989,100000003557488100;100000001317336100;100000002975437100;100000002212494100;100000003594472100
32,4,3,0.2727,0,3,0.215528,100000005042822100;100000000733940100;100000003696422100
33,1,1,0.1,0,0,0.621769,100000008172352100
33,2,7,0.7,0,0,0.314473,100000007322059100;100000000993112100;100000002691858100;100000001597505100;100000002628146100
33,3,1,0.1,0,0,0.367985,100000004552204100
33,4,1,0.1,0,1,0.133222,100000003646145100
34,1,1,0.1,0,0,0.864708,100000003635170100
34,2,4,0.4,0,0,0.518323,100000002156381100;100000004209339100;100000005602999100;100000003321423100
34,3,3,0.3,0,0,0.428051,100000008501413100;100000002696152100;100000007737775100
34,4,2,0.2,0,2,0.143729,100000002723439100;100000005910895100
35,1,1,0.1,0,0,0.561231,100000004076740100
