component_id,role,n_nodes,share_component,n_seed,boundary_nodes,avg_priority_score,top_gids
1,peripheral,921,0.4907,36,439,0.335511,100000005074393100;100000008686313100;100000007442518100;100000007908818100;100000003701161100
1,terminal,778,0.4145,0,0,0.379736,100000001072022100;100000002939838100;100000002605308100;100000006972210100;100000007229557100
1,transit,60,0.032,0,0,0.605641,100000008165763100;100000003635170100;100000006518161100;100000003265158100;100000008324800100
1,distributor,55,0.0293,9,0,0.713445,100000001530983100;100000008733194100;100000008731444100;100000005933757100;100000008710791100
1,consolidator,46,0.0245,1,0,0.78581,100000003115284100;100000006889963100;100000002398779100;100000008730846100;100000007594394100
1,coordinator,17,0.0091,0,0,0.92623,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000004156082100
2,terminal,250,0.9259,0,0,0.281008,100000008737958100;100000004292885100;100000001632325100;100000001952325100;100000008737422100
2,peripheral,14,0.0519,0,4,0.298317,100000001166289100;100000002733905100;100000006612238100;100000005342513100;100000006656003100
2,distributor,3,0.0111,1,0,0.640633,100000002578405100;100000001697501100;100000002527114100
2,transit,3,0.0111,0,0,0.399496,100000003942602100;100000008493007100;100000004739664100
3,peripheral,9,0.5294,1,1,0.386431,100000002731501100;100000004005964100;100000003616818100;100000004007116100;100000001330595100
3,terminal,6,0.3529,0,0,0.325717,100000003031890100;100000002886166100;100000003603979100;100000002257794100;100000003338583100
3,consolidator,1,0.0588,0,0,0.529993,100000004144536100
3,distributor,1,0.0588,0,0,0.619362,100000004160650100
4,peripheral,7,0.5385,1,0,0.346132,100000001380054100;100000005077484100;100000000703894100;100000006232815100;100000001782980100
4,terminal,6,0.4615,0,0,0.300106,100000003164661100;100000004192865100;100000004463277100;100000003617552100;100000005669845100
5,peripheral,5,0.8333,1,0,0.465517,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100
5,terminal,1,0.1667,0,0,0.232285,100000000307908100
6,peripheral,3,0.5,1,0,0.353762,100000007939160100;100000000580561100;100000003888271100
6,terminal,3,0.5,0,0,0.286582,100000005183943100;100000000955444100;100000007930878100
7,terminal,5,0.8333,0,0,0.29419,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100
7,peripheral,1,0.1667,1,0,0.177843,100000005485830100
8,peripheral,3,0.5,1,0,0.29397,100000005546031100;100000005547096100;100000008575624100
8,transit,2,0.3333,0,0,0.425092,100000004094958100;100000005363908100
8,terminal,1,0.1667,0,0,0.444104,100000004331458100
9,peripheral,2,0.4,1,0,0.414804,100000008571433100;100000004979498100
9,transit,2,0.4,0,0,0.576909,100000004135268100;100000002738256100
9,terminal,1,0.2,0,0,0.37767,100000007507343100
10,terminal,3,0.6,0,0,0.330153,100000006562026100;100000007347733100;100000008129393100
10,peripheral,2,0.4,2,0,0.167273,100000006249740100;100000006831291100
11,peripheral,2,0.5,1,0,0.410135,100000001872484100;100000008601794100
11,terminal,1,0.25,0,0,0.27331,100000002459163100
11,transit,1,0.25,0,0,0.406624,100000000785800100
12,peripheral,3,0.75,1,0,0.325088,100000003148220100;100000006888238100;100000004971871100
12,terminal,1,0.25,0,0,0.291157,100000001852140100
13,peripheral,2,0.6667,1,0,0.278047,100000002371751100;100000007018630100
13,terminal,1,0.3333,0,0,0.368255,100000000769919100
14,terminal,2,0.6667,0,0,0.364285,100000005034574100;100000007283257100
14,peripheral,1,0.3333,1,0,0.169889,100000004388983100
15,peripheral,1,0.5,1,0,0.160169,100000003200071100
15,terminal,1,0.5,0,0,0.291157,100000003980083100
16,peripheral,1,0.5,1,0,0.160169,100000005392290100
16,terminal,1,0.5,0,0,0.330632,100000003865939100
17,peripheral,1,1.0,1,0,0.120332,100000000456947100
18,peripheral,1,1.0,1,0,0.120332,100000003265658100
19,peripheral,1,1.0,1,0,0.120332,100000003349739100
20,peripheral,1,1.0,1,0,0.120332,100000003770083100
21,peripheral,1,1.0,1,0,0.120332,100000004021459100
22,peripheral,1,1.0,1,0,0.120332,100000004174835100
23,peripheral,1,1.0,1,0,0.120332,100000005017150100
24,peripheral,1,1.0,1,0,0.120332,100000005087431100
25,peripheral,1,1.0,1,0,0.120332,100000005235389100
26,peripheral,1,1.0,1,0,0.120332,100000005480435100
27,peripheral,1,1.0,1,0,0.120332,100000005495722100
28,peripheral,1,1.0,1,0,0.120332,100000005550592100
29,peripheral,1,1.0,1,0,0.120332,100000005560900100
30,peripheral,1,1.0,1,0,0.120332,100000005568407100
31,peripheral,1,1.0,1,0,0.120332,100000008117324100
32,peripheral,1,1.0,1,0,0.120332,100000008205000100
33,peripheral,1,1.0,1,0,0.120332,100000008513251100
34,peripheral,1,1.0,1,0,0.120332,100000008669037100
35,peripheral,1,1.0,1,0,0.120332,100000008701222100
